learn_best,count,tags
To ask other on the process of solving a a question and to seek out answers to understand the concept as a whole.,1,asking_questions+concept_focus
Working with others who can explain concepts in a different or more in-depth way usually helps me understand things a lot better and then doing several practice problems until I feel confident also helps me.,1,peer_collaboration+multiple_sources+general_practice
"Using tools to learn it, such as KhanAcademy and Google.",1,other_online+video_tutorials
Going through example problems and practices problems help me learn best when material is confusing or challenging,1,worked_examples+general_practice
"Working with peers on the problems, then consulting the instructor when necessary.",1,peer_collaboration+office_hours
Reviewing the lecture slides.,1,textbook_notes
Doing many exercises until i get everything right after studying notes and theory.,1,general_practice+repetition+textbook_notes
Taking a step back and trying to find the root cause of what's confusing and then finding secondary sources online to explain that root problem,1,break_timing+concept_focus+other_online+multiple_sources
Trying to use various resources to develop intuition for why things are done a certain way,1,multiple_sources+concept_focus
Practice a lot and ask questions.,1,general_practice+asking_questions
Practice problems with answer keys that worked out the problems step-by-step that I can reference.,1,general_practice+worked_examples
YouTube explanation vids,1,video_tutorials
"Having tutoring!!!! But I am not eligible for Peer Learning, so I feel left behind. Do they offer similar tutoring for people who don't qualify for AAP? AAP gives extra practice problems similar to what will be tested on, and students not in AAP get left behind.",1,tutoring_programs+suggestions_complaints
I usually review practice problems or worked solutions which can help with the process of solving questions or reviewing concepts of the material.,1,general_practice+worked_examples
When we can ask questions and get quick answers,1,asking_questions
Rewatching lecture videos slowly to carefully follow along with the professor's explanation and make sure I understand the topic with my own logic,1,repetition+concept_focus
Going to problem solving sessions or in person office hours,1,tutoring_programs+office_hours
"Office Hours, Review Session, Problem Solving Sessions. Everything that Dr. Riu is doing",1,office_hours+tutoring_programs
Just practice and watching videos,1,general_practice+video_tutorials
I go back to lecture videos and rewatch them and do practice problems. I also highly benefit from someone explaining a topic to me and going very slow and in depth.,1,repetition+video_tutorials+general_practice+worked_examples
I usually do practice problems and study those over and over again.,1,general_practice+repetition
"I need to push through and look at new solutions, and not surrender to not knowing the material",1,worked_examples+multiple_sources
I watch videos or try to read through notes and old practice problems. I also try to reach out but I don't always plan accordingly to ask questions and also naturally struggle to want to ask for help.,1,video_tutorials+textbook_notes+general_practice+asking_questions
"Rewatching lecture, working through practice problems, asking for help from instructor",1,repetition+general_practice+asking_questions+office_hours
Practice problems and looking at the steps to solving the material.,1,general_practice+worked_examples
Doing practice problems.,1,general_practice
Doing practice problems and applying concepts,1,general_practice
The resource that helps me learn the absolute best when material feels confusing or challenging is reaching out to someone who knows the material and is able to explain it to me.,1,asking_questions+peer_collaboration+office_hours+tutoring_programs
"Doing practice problems, and having people explain the methods to me.",1,general_practice+worked_examples+peer_collaboration+office_hours
Having extra tutoring outside of class and outside of office hours.,1,tutoring_programs
"I rewrite notes, homework problems, and discussion worksheets by hand. I then go in and highlight/annotate parts I dotn understand and clarify.",1,self_explanation+textbook_notes+asking_questions
Usually I try to ask for help or I try to explain the topic to myself,1,asking_questions+self_explanation
